03:31:14.519 - Lote de id product-batch_21-05-2025_03-24-04-370, tamanho 50000, inserido em 8981 ms
03:31:14.790 - Lote de id product-batch_21-05-2025_03-24-00-846, tamanho 50000, inserido em 7500 ms
03:31:15.043 - Lote de id product-batch_21-05-2025_03-23-57-738, tamanho 50000, inserido em 7743 ms
03:31:22.806 - Lote de id product-batch_21-05-2025_03-24-08-689, tamanho 50000, inserido em 7353 ms
03:31:23.191 - Lote de id product-batch_21-05-2025_03-24-02-857, tamanho 50000, inserido em 7204 ms
03:31:23.296 - Lote de id product-batch_21-05-2025_03-23-59-471, tamanho 50000, inserido em 7352 ms
03:31:29.881 - Lote de id product-batch_21-05-2025_03-24-09-585, tamanho 50000, inserido em 6279 ms
03:31:30.075 - Lote de id product-batch_21-05-2025_03-24-01-786, tamanho 50000, inserido em 6067 ms
03:31:30.161 - Lote de id product-batch_21-05-2025_03-24-05-281, tamanho 50000, inserido em 5997 ms
03:31:35.518 - Lote de id product-batch_21-05-2025_03-24-05-799, tamanho 50000, inserido em 4897 ms
03:31:35.626 - Lote de id product-batch_21-05-2025_03-24-06-736, tamanho 50000, inserido em 4926 ms
03:31:40.047 - Lote de id product-batch_21-05-2025_03-24-07-172, tamanho 50000, inserido em 3843 ms
10:14:14.507 - Lote de id product-batch_21-05-2025_09-55-59-538, tamanho 50000, inserido em 3143 ms
10:14:17.754 - Lote de id product-batch_21-05-2025_09-56-00-541, tamanho 50000, inserido em 2876 ms
10:14:20.960 - Lote de id product-batch_21-05-2025_09-56-01-096, tamanho 50000, inserido em 2915 ms
10:14:55.151 - Lote de id product-batch_21-05-2025_09-56-01-573, tamanho 50000, inserido em 117 ms
10:14:55.652 - Lote de id product-batch_21-05-2025_09-56-01-995, tamanho 50000, inserido em 46 ms
10:14:56.335 - Lote de id product-batch_21-05-2025_09-56-02-317, tamanho 50000, inserido em 83 ms
10:14:56.769 - Lote de id product-batch_21-05-2025_09-56-02-614, tamanho 50000, inserido em 67 ms
10:14:57.166 - Lote de id product-batch_21-05-2025_09-56-02-988, tamanho 50000, inserido em 76 ms
10:14:57.670 - Lote de id product-batch_21-05-2025_09-56-03-366, tamanho 50000, inserido em 53 ms
10:14:57.987 - Lote de id product-batch_21-05-2025_09-56-03-692, tamanho 50000, inserido em 33 ms
10:14:58.315 - Lote de id product-batch_21-05-2025_09-56-04-074, tamanho 50000, inserido em 53 ms
10:14:58.757 - Lote de id product-batch_21-05-2025_09-56-04-393, tamanho 50000, inserido em 50 ms
10:14:59.185 - Lote de id product-batch_21-05-2025_09-56-04-679, tamanho 50000, inserido em 62 ms
10:14:59.520 - Lote de id product-batch_21-05-2025_09-56-05-098, tamanho 50000, inserido em 44 ms
10:14:59.827 - Lote de id product-batch_21-05-2025_09-56-05-407, tamanho 50000, inserido em 35 ms
10:15:00.192 - Lote de id product-batch_21-05-2025_09-56-05-812, tamanho 50000, inserido em 52 ms
10:15:00.523 - Lote de id product-batch_21-05-2025_09-56-06-188, tamanho 50000, inserido em 50 ms
10:15:00.915 - Lote de id product-batch_21-05-2025_09-56-06-499, tamanho 50000, inserido em 42 ms
10:15:01.376 - Lote de id product-batch_21-05-2025_09-56-06-789, tamanho 50000, inserido em 33 ms
10:15:01.724 - Lote de id product-batch_21-05-2025_09-56-07-197, tamanho 50000, inserido em 83 ms
10:15:02.062 - Lote de id product-batch_21-05-2025_09-56-07-492, tamanho 50000, inserido em 68 ms
10:15:02.445 - Lote de id product-batch_21-05-2025_09-56-07-836, tamanho 50000, inserido em 46 ms
10:15:02.846 - Lote de id product-batch_21-05-2025_09-56-08-173, tamanho 50000, inserido em 39 ms
10:15:03.171 - Lote de id product-batch_21-05-2025_09-56-08-518, tamanho 50000, inserido em 40 ms
10:15:03.519 - Lote de id product-batch_21-05-2025_09-56-08-865, tamanho 50000, inserido em 78 ms
10:15:03.843 - Lote de id product-batch_21-05-2025_09-56-09-235, tamanho 50000, inserido em 50 ms
10:15:04.148 - Lote de id product-batch_21-05-2025_09-56-09-506, tamanho 50000, inserido em 42 ms
10:15:04.592 - Lote de id product-batch_21-05-2025_09-56-09-873, tamanho 50000, inserido em 45 ms
10:15:04.911 - Lote de id product-batch_21-05-2025_09-56-10-209, tamanho 50000, inserido em 50 ms
10:15:05.297 - Lote de id product-batch_21-05-2025_09-56-10-531, tamanho 50000, inserido em 69 ms
10:15:05.611 - Lote de id product-batch_21-05-2025_09-56-10-882, tamanho 50000, inserido em 50 ms
10:15:05.928 - Lote de id product-batch_21-05-2025_09-56-11-256, tamanho 50000, inserido em 37 ms
10:15:06.295 - Lote de id product-batch_21-05-2025_09-56-11-608, tamanho 50000, inserido em 49 ms
10:15:06.646 - Lote de id product-batch_21-05-2025_09-56-11-968, tamanho 50000, inserido em 50 ms
10:15:06.963 - Lote de id product-batch_21-05-2025_09-56-12-270, tamanho 50000, inserido em 50 ms
10:15:07.387 - Lote de id product-batch_21-05-2025_09-56-12-629, tamanho 50000, inserido em 57 ms
10:15:07.702 - Lote de id product-batch_21-05-2025_09-56-12-994, tamanho 50000, inserido em 43 ms
10:15:08.034 - Lote de id product-batch_21-05-2025_09-56-13-326, tamanho 50000, inserido em 54 ms
10:15:08.347 - Lote de id product-batch_21-05-2025_09-56-13-655, tamanho 50000, inserido em 33 ms
10:15:08.682 - Lote de id product-batch_21-05-2025_09-56-13-993, tamanho 50000, inserido em 51 ms
10:15:08.998 - Lote de id product-batch_21-05-2025_09-56-14-308, tamanho 50000, inserido em 50 ms
10:15:09.321 - Lote de id product-batch_21-05-2025_09-56-14-648, tamanho 50000, inserido em 52 ms
10:15:09.750 - Lote de id product-batch_21-05-2025_09-56-14-967, tamanho 50000, inserido em 44 ms
10:15:10.083 - Lote de id product-batch_21-05-2025_09-56-15-372, tamanho 50000, inserido em 39 ms
10:15:10.434 - Lote de id product-batch_21-05-2025_09-56-15-754, tamanho 50000, inserido em 54 ms
10:15:10.783 - Lote de id product-batch_21-05-2025_09-56-16-099, tamanho 50000, inserido em 47 ms
10:15:11.100 - Lote de id product-batch_21-05-2025_09-56-16-472, tamanho 50000, inserido em 34 ms
10:15:11.467 - Lote de id product-batch_21-05-2025_09-56-16-779, tamanho 50000, inserido em 50 ms
10:15:11.863 - Lote de id product-batch_21-05-2025_09-56-17-092, tamanho 50000, inserido em 49 ms
10:15:12.209 - Lote de id product-batch_21-05-2025_09-56-17-440, tamanho 50000, inserido em 55 ms
10:15:12.688 - Lote de id product-batch_21-05-2025_09-56-17-785, tamanho 50000, inserido em 78 ms
10:15:13.060 - Lote de id product-batch_21-05-2025_09-56-18-117, tamanho 50000, inserido em 47 ms
10:15:13.386 - Lote de id product-batch_21-05-2025_09-56-18-456, tamanho 50000, inserido em 50 ms
10:15:13.778 - Lote de id product-batch_21-05-2025_09-56-18-802, tamanho 50000, inserido em 48 ms
10:15:14.187 - Lote de id product-batch_21-05-2025_09-56-19-193, tamanho 50000, inserido em 66 ms
10:15:14.590 - Lote de id product-batch_21-05-2025_09-56-19-526, tamanho 50000, inserido em 70 ms
10:15:14.927 - Lote de id product-batch_21-05-2025_09-56-19-893, tamanho 50000, inserido em 47 ms
10:15:15.325 - Lote de id product-batch_21-05-2025_09-56-20-284, tamanho 50000, inserido em 47 ms
10:15:15.788 - Lote de id product-batch_21-05-2025_09-56-20-664, tamanho 50000, inserido em 44 ms
10:15:16.189 - Lote de id product-batch_21-05-2025_09-56-21-038, tamanho 50000, inserido em 79 ms
10:15:16.577 - Lote de id product-batch_21-05-2025_09-56-21-393, tamanho 50000, inserido em 51 ms
10:15:16.928 - Lote de id product-batch_21-05-2025_09-56-21-794, tamanho 50000, inserido em 47 ms
10:15:17.278 - Lote de id product-batch_21-05-2025_09-56-22-139, tamanho 50000, inserido em 49 ms
10:15:17.649 - Lote de id product-batch_21-05-2025_09-56-22-523, tamanho 50000, inserido em 47 ms
10:15:17.996 - Lote de id product-batch_21-05-2025_09-56-22-826, tamanho 50000, inserido em 55 ms
10:15:18.346 - Lote de id product-batch_21-05-2025_09-56-23-241, tamanho 50000, inserido em 49 ms
10:15:18.799 - Lote de id product-batch_21-05-2025_09-56-23-603, tamanho 50000, inserido em 53 ms
10:15:19.145 - Lote de id product-batch_21-05-2025_09-56-23-983, tamanho 50000, inserido em 35 ms
10:15:19.512 - Lote de id product-batch_21-05-2025_09-56-24-306, tamanho 50000, inserido em 41 ms
10:15:19.836 - Lote de id product-batch_21-05-2025_09-56-24-615, tamanho 50000, inserido em 52 ms
10:15:20.210 - Lote de id product-batch_21-05-2025_09-56-24-980, tamanho 50000, inserido em 50 ms
10:15:20.560 - Lote de id product-batch_21-05-2025_09-56-25-261, tamanho 50000, inserido em 49 ms
10:15:20.893 - Lote de id product-batch_21-05-2025_09-56-25-594, tamanho 50000, inserido em 33 ms
10:15:21.244 - Lote de id product-batch_21-05-2025_09-56-26-006, tamanho 50000, inserido em 35 ms
10:15:21.783 - Lote de id product-batch_21-05-2025_09-56-26-294, tamanho 50000, inserido em 71 ms
10:15:22.196 - Lote de id product-batch_21-05-2025_09-56-26-662, tamanho 50000, inserido em 52 ms
10:15:22.554 - Lote de id product-batch_21-05-2025_09-56-27-004, tamanho 50000, inserido em 49 ms
10:15:22.908 - Lote de id product-batch_21-05-2025_09-56-27-305, tamanho 50000, inserido em 63 ms
10:15:23.255 - Lote de id product-batch_21-05-2025_09-56-27-598, tamanho 50000, inserido em 76 ms
10:15:23.596 - Lote de id product-batch_21-05-2025_09-56-27-879, tamanho 50000, inserido em 54 ms
10:15:23.930 - Lote de id product-batch_21-05-2025_09-56-28-237, tamanho 50000, inserido em 50 ms
10:15:24.315 - Lote de id product-batch_21-05-2025_09-56-28-584, tamanho 50000, inserido em 68 ms
10:15:24.764 - Lote de id product-batch_21-05-2025_09-56-28-983, tamanho 50000, inserido em 50 ms
10:15:25.187 - Lote de id product-batch_21-05-2025_09-56-29-386, tamanho 50000, inserido em 83 ms
10:15:25.532 - Lote de id product-batch_21-05-2025_09-56-29-688, tamanho 50000, inserido em 57 ms
10:15:25.899 - Lote de id product-batch_21-05-2025_09-56-30-003, tamanho 50000, inserido em 56 ms
